[2025-10-06 09:24:03.928 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 3.5103 ms
[2025-10-06 09:29:57.153 +07:00 INF] HTTP GET /Home/Test responded 200 in 1.8831 ms
[2025-10-06 09:29:58.750 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 7.0693 ms
[2025-10-06 09:30:01.292 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 10.5786 ms
[2025-10-06 09:30:06.650 +07:00 INF] HTTP GET /Home/Test responded 200 in 4.1107 ms
[2025-10-06 09:30:08.262 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 4.6842 ms
[2025-10-06 09:51:06.113 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 2.8745 ms
[2025-10-06 10:10:22.135 +07:00 INF] Starting OrderFood_SW web host...
[2025-10-06 10:10:22.573 +07:00 INF] Application started. Press Ctrl+C to shut down.
[2025-10-06 10:10:22.576 +07:00 INF] Hosting environment: Development
[2025-10-06 10:10:22.576 +07:00 INF] Content root path: D:\workspace\C#\SW_Web\OrderFood_SW\OrderFood_SW
[2025-10-06 10:10:22.677 +07:00 WRN] Failed to determine the https port for redirect.
[2025-10-06 10:10:26.999 +07:00 WRN] No store type was specified for the decimal property 'DishPrice' on entity type 'Dish'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
[2025-10-06 10:10:27.001 +07:00 WRN] No store type was specified for the decimal property 'TotalAmount' on entity type 'Order'. This will cause values to be silently truncated if they do not fit in the default precision and scale. Explicitly specify the SQL server column type that can accommodate all the values in 'OnModelCreating' using 'HasColumnType', specify precision and scale using 'HasPrecision', or configure a value converter using 'HasConversion'.
[2025-10-06 10:10:30.028 +07:00 INF] HTTP GET /Statistic/Revenue responded 200 in 7356.1071 ms
[2025-10-06 10:10:30.245 +07:00 INF] HTTP POST /notificationHub/negotiate responded 200 in 20.8576 ms
[2025-10-06 10:10:32.703 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 3.9236 ms
[2025-10-06 10:10:34.163 +07:00 INF] HTTP GET /Statistic/Revenue responded 200 in 51.5284 ms
[2025-10-06 10:10:34.187 +07:00 INF] HTTP GET /notificationHub responded 101 in 3794.2009 ms
